01/31/2019,Quinta,5ª-feira da 3ª Semana Do Tempo Comum,"São João Bosco, presbítero",Branco,,,,,,,,C,,,"1ª Leitura - Hb 10,19-25  / Salmo - Sl 23 (24),1-2. 3-4ab. 5-6 (R. Cf. 6)  / Evangelho - Mc 4,21-25"
02/01/2019,Sexta,6ª-feira da 3ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 10,32-39  / Salmo - Sl 36, 3-4. 5-6. 23-24. 39-40 (R. 39a)  / Evangelho - Mc 4,26-34"
02/02/2019,Sábado,Sábado da 3ª Semana Do Tempo Comum,Apresentação do Senhor,Dourado,,,X,,,,,C,"Lc 2,32","Sois a luz que brilhará para os gentios, e para a glória de Israel, o vosso povo.","1ª Leitura - Ml 3,1-4  / Salmo - Sl 23(24),7.8.9.10 (R. 10b)  / 2ª Leitura - Hb 2,14-18  / Evangelho - Lc 2,22-40  / Evangelho - Lc 2,22-32"
02/03/2019,Domingo,4º Domingo Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Jr 1,4-5.17-19  / Salmo - Sl 70,1-2.3-4a.5-6ab.15ab.17 (R.15ab)  / 2ª Leitura - 1Cor 12,31-13,13  / 2ª Leitura - 1Cor 13,4-13  / Evangelho - Lc 4,21-30"
02/04/2019,Segunda,2ª-feira da 4ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 11,32-40  / Salmo - Sl 30, 20. 21. 22. 23. 24 (R. 25)  / Evangelho - Mc 5,1-20"
02/05/2019,Terça,3ª-feira da 4ª Semana Do Tempo Comum,"Santa Águeda, virgem e mártir",Vermelho,,,,,,,,C,,,"1ª Leitura - Hb 12,1-4  / Salmo - Sl 21 (22),26b-27 .28.30. 31-32 (R. Cf.27b)  / Evangelho - Mc 5,21-43"
02/06/2019,Quarta,4ª-feira da 4ª Semana Do Tempo Comum,"Santos Paulo Miki, e companheiros, mártires",Vermelho,,,,,,,,C,,,"1ª Leitura - Hb 12,4-7.11-15  / Salmo - Sl 102,1-2. 13-14. 17-18a (R. Cf. 17)  / Evangelho - Mc 6,1-6"
02/07/2019,Quinta,5ª-feira da 4ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 12,18-19.21-24  / Salmo - Sl 47, 2-3a. 3b-4. 9. 10-11 (R. Cf. 10)  / Evangelho - Mc 6,7-13"
02/08/2019,Sexta,6ª-feira da 4ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 13,1-8  / Salmo - Sl 26, 1. 3. 5. 8b-9abc (R. 1a)  / Evangelho - Mc 6,14-29"
02/09/2019,Sábado,Sábado da 4ª Semana Do Tempo Comum,,Verde,,,,,,,,C,,,"1ª Leitura - Hb 13,15-17.20-21  / Salmo - Sl 22,1-3a. 3b-4. 5. 6 (R. 1)  / Evangelho - Mc 6,30-34"
